HOLE_ID,error,local,PREDRILLED,DEPTH_MEASURED,Nominal_gripper,Estimated_gripper
MSN677_P1_11,-0.2156000000000003,-1.6368924323405272,-1,16.4,code_11,code_11
MSN677_P8_4,-0.4384000000000016,-1.1879672695415295,-1,21.5,code_14,code_14
MSN677_P7_12,0.1376749999999987,-1.3606307936949902,1,19.4,code_13,code_13
MSN678_P1_4,-0.1560499999999998,-0.2555842391128423,-1,18.33,code_12,code_12
MSN678_P7_11,-0.1586499999999997,0.0206773995326947,-1,17.65,code_12,code_12
MSN680_P7'_11,-0.0346250000000014,0.6077333816544608,-1,17.7,code_12,code_12
MSN635_P1_13,-0.1677000000000017,-0.6354439922504556,1,17.05,code_11,code_11
MSN635_P1_12,-0.0366500000000006,-1.291565384033606,-1,16.9,code_11,code_11
MSN660_P1_1,0.7344750000000007,-0.9117056308959924,-1,17.21,code_11,code_12
MSN663_P1'_13,0.0422999999999995,0.2278736285168474,1,16.96,code_11,code_11
MSN663_P1_1,-0.3644000000000004,0.5041352671623844,-1,18.52,code_12,code_12
MSN663_P8_6,0.1140750000000014,0.8149296106386135,-1,21.27,code_14,code_14
MSN664_P7'_11,0.1655749999999994,1.2983874782683031,-1,17.55,code_12,code_12
MSN664_P8'_6,0.1999000000000013,1.0221258396227662,-1,21.15,code_14,code_14
MSN664_P8'_5,0.1604249999999996,1.1602566589455348,1,21.1,code_14,code_14
MSN667_P8'_6,0.1523749999999994,-0.5318458777583792,-1,21.29,code_14,code_14
MSN667_P1_3,-0.3650250000000011,0.2969390381782317,-1,18.4,code_12,code_12
MSN669_P1'_14,-0.1074999999999997,1.229322068606919,-1,17.0,code_11,code_11
MSN669_P7'_11,0.5796749999999986,1.1257239541148425,-1,17.25,code_11,code_12
MSN669_P1_14,-0.2539500000000011,1.540116412083148,-1,17.14,code_11,code_11
MSN600_P1'_2,-0.2709500000000012,-0.5318458777583792,1,18.1,code_12,code_12
MSN600_P7_10,-0.3933000000000001,-0.739042106742532,1,16.8,code_11,code_11
MSN600_P1_14,-0.1809999999999984,-1.4987616130177586,-1,17.0,code_11,code_11
MSN600_P1_11,-0.0787500000000012,-1.4296962033563745,-1,16.5,code_11,code_11
MSN673_P7'_14,-0.0742750000000014,-0.1519861246207658,-1,19.67,code_13,code_13
MSN673_P8_6,-0.3078500000000007,0.8494623154693056,-1,21.7,code_14,code_14
MSN677_P1_3,-0.1555000000000001,-1.5678270226791429,-1,18.0,code_12,code_12
MSN677_P1_13,-0.1611499999999989,-1.4987616130177586,1,17.0,code_11,code_11
MSN678_P1'_1,-0.1427249999999991,-0.4973131729276871,-1,18.12,code_12,code_12
MSN678_P1'_12,-0.0257000000000012,-0.6354439922504556,-1,17.0,code_11,code_11
MSN678_P7_14,-0.2831500000000012,-0.0483880101286895,-1,20.25,code_13,code_13
MSN680_P7'_13,-0.0011500000000007,0.6422660864851529,-1,20.0,code_13,code_13
MSN680_P8_5,-0.1523249999999985,1.6437145265752244,1,21.75,code_14,code_14
MSN635_P1_1,-0.0982250000000002,-1.1534345647108375,-1,18.1,code_12,code_12
MSN635_P8'_1,-0.1002000000000008,-0.8426402212346084,1,14.05,code_9,code_9
MSN635_P8_1,0.0707750000000013,-0.4282477632663028,1,13.85,code_9,code_9
